Date,Price,,,,
"Mar 02, 2001",46.54,,,,
"Mar 05, 2001",46.515,,,,
"Mar 06, 2001",46.495,,,,
"Mar 07, 2001",46.51,,,,
"Mar 08, 2001",46.515,,,,
"Mar 09, 2001",46.52,,,,
"Mar 12, 2001",46.54,,,,
"Mar 13, 2001",46.64,,,,
"Mar 14, 2001",46.645,,,,
"Mar 15, 2001",46.62,,,,
"Mar 16, 2001",46.665,,,,
"Mar 19, 2001",46.68,,,,
"Mar 20, 2001",46.695,,,,
"Mar 21, 2001",46.695,,,,
"Mar 22, 2001",46.7,,,,
"Mar 23, 2001",46.66,,,,
"Mar 26, 2001",46.65,,,,
"Mar 27, 2001",46.61,,,,
"Mar 28, 2001",46.6,,,,
"Mar 29, 2001",46.615,,,,
"Mar 30, 2001",46.71,,,,
"May 01, 2001",46.845,,,,
"May 02, 2001",46.82,,,,
"May 03, 2001",46.775,,,,
"May 04, 2001",46.77,,,,
"May 07, 2001",46.805,,,,
"May 08, 2001",46.775,,,,
"May 09, 2001",46.775,,,,
"May 10, 2001",46.825,,,,
"May 11, 2001",46.86,,,,
"May 14, 2001",47.19,,,,
"May 15, 2001",47,,,,
"May 16, 2001",46.92,,,,
"May 17, 2001",46.94,,,,
"May 18, 2001",46.93,,,,
"May 21, 2001",46.96,,,,
"May 22, 2001",47.01,,,,
"May 23, 2001",46.97,,,,
"May 24, 2001",46.97,,,,
"May 25, 2001",46.97,,,,
"May 28, 2001",46.975,,,,
"May 29, 2001",46.97,,,,
"May 30, 2001",46.95,,,,
"May 31, 2001",47,,,,
"Nov 01, 2001",48,,,,
"Nov 02, 2001",47.99,,,,
"Nov 05, 2001",47.97,,,,
"Nov 06, 2001",47.99,,,,
"Nov 07, 2001",47.99,,,,
"Nov 08, 2001",48.02,,,,
"Nov 09, 2001",48,,,,
"Nov 12, 2001",47.99,,,,
"Nov 13, 2001",48.06,,,,
"Nov 14, 2001",48.06,,,,
"Nov 15, 2001",47.98,,,,
"Nov 16, 2001",47.98,,,,
"Nov 19, 2001",47.95,,,,
"Nov 20, 2001",47.98,,,,
"Nov 21, 2001",47.98,,,,
"Nov 22, 2001",48.025,,,,
"Nov 23, 2001",48.05,,,,
"Nov 26, 2001",48,,,,
"Nov 27, 2001",47.97,,,,
"Nov 28, 2001",47.99,,,,
"Nov 29, 2001",47.96,,,,
"Nov 30, 2001",47.93,,,,
"Oct 01, 2001",47.98,,,,
"Oct 02, 2001",47.98,,,,
"Oct 03, 2001",47.91,,,,
"Oct 04, 2001",47.99,,,,
"Oct 05, 2001",48,,,,
"Oct 08, 2001",48.13,,,,
"Oct 09, 2001",48.12,,,,
"Oct 10, 2001",48.04,,,,
"Oct 11, 2001",48.04,,,,
"Oct 12, 2001",48.02,,,,
"Oct 15, 2001",48.02,,,,
"Oct 16, 2001",48,,,,
"Oct 17, 2001",48,,,,
"Oct 18, 2001",48.03,,,,
"Oct 19, 2001",48.03,,,,
"Oct 22, 2001",48,,,,
"Oct 23, 2001",47.98,,,,
"Oct 24, 2001",48.03,,,,
"Oct 25, 2001",48.01,,,,
"Oct 26, 2001",47.97,,,,
"Oct 29, 2001",47.97,,,,
"Oct 30, 2001",47.98,,,,
"Oct 31, 2001",47.99,,,,
"Sep 03, 2001",47.15,,,,
"Sep 04, 2001",47.15,,,,
"Sep 05, 2001",47.15,,,,
"Sep 06, 2001",47.17,,,,
"Sep 07, 2001",47.22,,,,
"Sep 10, 2001",47.33,,,,
"Sep 11, 2001",47.41,,,,
"Sep 12, 2001",47.44,,,,
"Sep 13, 2001",47.54,,,,
"Sep 14, 2001",47.8,,,,
"Sep 17, 2001",47.845,,,,
"Sep 18, 2001",47.97,,,,
"Sep 19, 2001",48.01,,,,
"Sep 20, 2001",47.98,,,,
"Sep 21, 2001",48.03,,,,
"Sep 24, 2001",47.91,,,,
"Sep 25, 2001",47.86,,,,
"Sep 26, 2001",47.86,,,,
"Sep 27, 2001",47.86,,,,
"Sep 28, 2001",47.85,,,,
"Apr 01, 2002",48.78,,,,
"Apr 02, 2002",48.8,,,,
"Apr 03, 2002",48.86,,,,
"Apr 04, 2002",48.87,,,,
"Apr 05, 2002",48.81,,,,
"Apr 08, 2002",48.86,,,,
"Apr 09, 2002",48.87,,,,
"Apr 10, 2002",48.86,,,,
"Apr 11, 2002",48.88,,,,
"Apr 12, 2002",48.89,,,,
"Apr 15, 2002",48.91,,,,
"Apr 16, 2002",48.91,,,,
"Apr 17, 2002",48.91,,,,
"Apr 18, 2002",48.88,,,,
"Apr 19, 2002",48.87,,,,
"Apr 22, 2002",48.9,,,,
"Apr 23, 2002",48.96,,,,
"Apr 24, 2002",48.95,,,,
"Apr 25, 2002",48.95,,,,
"Apr 26, 2002",48.94,,,,
"Apr 29, 2002",48.96,,,,
"Apr 30, 2002",48.93,,,,
"Aug 01, 2002",48.63,,,,
"Aug 02, 2002",48.63,,,,
"Aug 05, 2002",48.62,,,,
"Aug 06, 2002",48.68,,,,
"Aug 07, 2002",48.65,,,,
"Aug 08, 2002",48.63,,,,
"Aug 09, 2002",48.62,,,,
"Aug 12, 2002",48.59,,,,
"Aug 13, 2002",48.57,,,,
"Aug 14, 2002",48.58,,,,
"Aug 15, 2002",48.58,,,,
"Aug 16, 2002",48.55,,,,
"Aug 19, 2002",48.56,,,,
"Aug 20, 2002",48.54,,,,
"Aug 21, 2002",48.51,,,,
"Aug 22, 2002",48.5,,,,
"Aug 23, 2002",48.5,,,,
"Aug 26, 2002",48.5,,,,
"Aug 27, 2002",48.48,,,,
"Aug 28, 2002",48.45,,,,
"Aug 29, 2002",48.49,,,,
"Aug 30, 2002",48.47,,,,
"Dec 02, 2002",48.27,,,,
"Dec 03, 2002",48.23,,,,
"Dec 04, 2002",48.18,,,,
"Dec 05, 2002",48.22,,,,
"Dec 06, 2002",48.19,,,,
"Dec 09, 2002",48.19,,,,
"Dec 10, 2002",48.19,,,,
"Dec 11, 2002",48.13,,,,
"Dec 12, 2002",48.17,,,,
"Dec 13, 2002",48.15,,,,
"Dec 16, 2002",48.13,,,,
"Dec 17, 2002",48.11,,,,
"Dec 18, 2002",48.1,,,,
"Dec 19, 2002",48.06,,,,
"Dec 20, 2002",47.98,,,,
"Dec 23, 2002",47.98,,,,
"Dec 24, 2002",47.99,,,,
"Dec 25, 2002",47.99,,,,
"Dec 26, 2002",48,,,,
